retyr,popID,p50,model,age,obs
2010,17,0.137403351806766,RJ2,99,47999.5178727575
2010,18,0.0421052998202742,RJ2,99,19321.1199607384
2009,6,7.49109459727247,RJC,99,204040.935164884
2009,7,5.02099120268272,RJC,99,295245.121048716
2009,11,0.00921830477361287,RJC,99,940.443117829415
2009,13,0.448356682184755,RJC,99,116225.16733694
2009,17,0.15721787291996,RJC,99,30460.064556074
2009,18,0.0327822530087942,RJC,99,32439.7379008829
2009,6,7.98957318197098,MRJ,99,204040.935164884
2009,7,6.46834297443058,MRJ,99,295245.121048716
2009,11,0.00693263669098002,MRJ,99,940.443117829415
2009,13,0.489599131778302,MRJ,99,116225.16733694
2009,17,0.144673728176986,MRJ,99,30460.064556074
2009,18,0.023179576811289,MRJ,99,32439.7379008829
2009,6,6.06140957257435,RJ1,99,204040.935164884
2009,7,3.83201154611337,RJ1,99,295245.121048716
2009,11,NA,RJ1,99,940.443117829415
2009,13,0.428206201918388,RJ1,99,116225.16733694
2009,17,0.275856137725099,RJ1,99,30460.064556074
2009,18,0.0308590391080375,RJ1,99,32439.7379008829
2009,6,10.1527554267788,RJ2,99,204040.935164884
2009,7,5.24364844835178,RJ2,99,295245.121048716
2009,11,0.0137009925313326,RJ2,99,940.443117829415
2009,13,0.491992207605241,RJ2,99,116225.16733694
2009,17,0.22279759268862,RJ2,99,30460.064556074
2009,18,0.0308398361381081,RJ2,99,32439.7379008829
2020,1,0.025917,LLY,99,16000
2020,2,0.024568,LLY,99,34000
2020,3,0.084592,LLY,99,20000
2020,4,7.2e-5,LLY,99,1785.48387096774
2020,5,0.001672,LLY,99,2831.4606741573
2020,6,0.045169,LLY,99,1000
2020,7,0.24975,LLY,99,65506.3291139241
2020,8,0.002664,LLY,99,1033.33333333333
2020,9,0.013741,LLY,99,76.9230769230769
2020,10,0.004264,LLY,99,10514.7058823529
2020,12,0.001078,LLY,99,23.0769230769231
2020,13,0.003608,LLY,99,3200
2020,14,6.76e-4,LLY,99,707.017543859649
2020,15,0.003881,LLY,99,978.947368421052
2020,16,0.013565,LLY,99,8535.51912568306
2020,17,0.082581,LLY,99,18714.5161290323
2020,18,0.005228,LLY,99,9000
2020,1,0.017836,R1C,99,16000
2020,2,0.031964,R1C,99,34000
2020,3,0.054597,R1C,99,20000
2020,4,2.79e-4,R1C,99,1785.48387096774
2020,5,0.022089,R1C,99,2831.4606741573
2020,6,0.00428,R1C,99,1000
2020,7,0.282998,R1C,99,65506.3291139241
2020,8,9.01e-4,R1C,99,1033.33333333333
2020,9,8.05e-4,R1C,99,76.9230769230769
2020,10,0.049573,R1C,99,10514.7058823529
2020,13,0.001041,R1C,99,3200
2020,14,0.002301,R1C,99,707.017543859649
2020,15,0.002315,R1C,99,978.947368421052
2020,16,0.021703,R1C,99,8535.51912568306
2020,17,0.043796,R1C,99,18714.5161290323
2020,18,0.078651,R1C,99,9000
2020,1,0.1008895,R2C,99,16000
2020,2,0.112019,R2C,99,34000
2020,3,0.169615,R2C,99,20000
2020,4,2.665e-4,R2C,99,1785.48387096774
2020,5,0.0207295,R2C,99,2831.4606741573
2020,6,0.0028275,R2C,99,1000
2020,7,0.388179,R2C,99,65506.3291139241
2020,8,0.0016455,R2C,99,1033.33333333333
2020,9,4.495e-4,R2C,99,76.9230769230769
2020,10,0.0753135,R2C,99,10514.7058823529
2020,12,2.035e-4,R2C,99,23.0769230769231
2020,13,0.015739,R2C,99,3200
2020,14,0.005277,R2C,99,707.017543859649
2020,15,0.0040725,R2C,99,978.947368421052
2020,16,0.0448485,R2C,99,8535.51912568306
2020,17,0.065476,R2C,99,18714.5161290323
2020,18,0.08142,R2C,99,9000
2020,1,0.11672575,RAC,99,16000
2020,2,0.1756070625,RAC,99,34000
2020,3,0.4296850625,RAC,99,20000
2020,4,0.0236938125,RAC,99,1785.48387096774
2020,5,0.0524865,RAC,99,2831.4606741573
2020,6,0.040601375,RAC,99,1000
2020,7,1.6116515,RAC,99,65506.3291139241
2020,8,0.0300916875,RAC,99,1033.33333333333
2020,9,0.0246906875,RAC,99,76.9230769230769
2020,10,0.2386410625,RAC,99,10514.7058823529
2020,13,0.288370666666667,RAC,99,3200
2020,14,0.0293870833333333,RAC,99,707.017543859649
2020,15,0.011315,RAC,99,978.947368421052
2020,16,0.116752818181818,RAC,99,8535.51912568306
2020,17,0.122782,RAC,99,18714.5161290323
2020,18,0.081356,RAC,99,9000
2020,1,0.287340640625,TSA,99,16000
