"Stock","MAE","MRE","MPE","RMSE","MAE_rank","absMAE_rank","absMPE_rank","RMSE_rank","Average_rank","Overall_rank","rel_rank_MAE","rel_rank_absMAE","rel_rank_absMPE","rel_rank_RMSE"
"Late Shuswap",1.51970890139525,-0.311938451362059,65.7442451973093,3.1872153279298,17,20,34,10,20.25,22,0.404761904761905,0.476190476190476,0.80952380952381,0.238095238095238
"Late Shuswap",1.74325622169226,-0.0605085497657287,9.13621009589358,3.70967604598137,27,4,26,26,20.75,23,0.642857142857143,0.0952380952380952,0.619047619047619,0.619047619047619
"Late Shuswap",1.67400624820248,-0.134297896625143,19.8972854319484,3.62963479723938,25,8,33,21,21.75,24,0.595238095238095,0.19047619047619,0.785714285714286,0.5
"Late Shuswap",1.99866569350033,0.141717617774034,7.37734299164357,4.30291623799601,32,9,13,33,21.75,25,0.761904761904762,0.214285714285714,0.30952380952381,0.785714285714286
"Late Shuswap",1.57203731262292,-0.502649753312067,7.69368215572349,3.69566561481477,20,28,14,25,21.75,26,0.476190476190476,0.666666666666667,0.333333333333333,0.595238095238095
"Late Shuswap",1.64287607824937,-0.229443119364156,9.47304293900396,3.65373464441722,22,16,28,22,22,27,0.523809523809524,0.380952380952381,0.666666666666667,0.523809523809524
"Late Shuswap",1.51052288706596,-1.37809573462585,5.34492178715625,3.94204565349412,16,38,4,30,22,28,0.380952380952381,0.904761904761905,0.0952380952380952,0.714285714285714
"Late Shuswap",1.80241778098973,-0.10441721589646,9.29631910099818,3.89162347990423,30,6,27,29,23,29,0.714285714285714,0.142857142857143,0.642857142857143,0.69047619047619
"Late Shuswap",2.03143195992797,-0.212785042409221,6.76595808078767,4.35549077327453,35,14,11,34,23.5,30,0.833333333333333,0.333333333333333,0.261904761904762,0.80952380952381
"Late Shuswap",2.0207586797492,0.113480055371406,8.35942870221055,4.42779057803503,33,7,19,35,23.5,31,0.785714285714286,0.166666666666667,0.452380952380952,0.833333333333333
"Late Shuswap",1.67637424590183,1.63176343298372,287.245582960434,2.96967000799702,26,39,40,4,27.25,32,0.619047619047619,0.928571428571429,0.952380952380952,0.0952380952380952
"Late Shuswap",1.98362169858525,0.243576430681592,18.815478407785,3.9873681598717,31,17,32,31,27.75,33,0.738095238095238,0.404761904761905,0.761904761904762,0.738095238095238
"Late Shuswap",2.02684888276835,0.270792764014925,13.5339136613384,4.06704680730882,34,18,30,32,28.5,34,0.80952380952381,0.428571428571429,0.714285714285714,0.761904761904762
"Late Shuswap",2.23485701136843,-2.14733745930346,3.24408622681744,5.1736781974855,36,40,1,39,29,35,0.857142857142857,0.952380952380952,0.0238095238095238,0.928571428571429
"Late Shuswap",1.79225092283982,0.882755779182646,93.4990355508262,3.68474240889826,29,33,36,24,30.5,36,0.69047619047619,0.785714285714286,0.857142857142857,0.571428571428571
"Late Shuswap",4.96189939941876,0.00101018068159198,404.816687641603,7.90425179261364,42,1,41,40,31,37,1,0.0238095238095238,0.976190476190476,0.952380952380952
"Late Shuswap",3.50130402366057,-0.303369070753817,4647.97921756012,5.05729966830831,40,19,42,38,34.75,38,0.952380952380952,0.452380952380952,1,0.904761904761905
"Late Shuswap",2.54151026851763,1.06204785143654,81.8084902165187,4.60444522684065,37,35,35,36,35.75,39,0.880952380952381,0.833333333333333,0.833333333333333,0.857142857142857
"Late Shuswap",2.65529942954179,1.18914936053718,197.496575967721,4.80728687572823,38,36,37,37,37,40,0.904761904761905,0.857142857142857,0.880952380952381,0.880952380952381
